[2025-11-13T23:02:01.271Z] [INFO] === CareerCompassi Enhancement Script Started ===
[2025-11-13T23:02:01.285Z] [INFO] Processing: /Users/yasiinali/careercompassi/data/careers-fi.ts
[2025-11-13T23:02:01.287Z] [INFO] File read successfully: 1036674 characters
[2025-11-13T23:02:01.289Z] [INFO] Backup created: /Users/yasiinali/careercompassi/data/careers-fi.backup.ts
[2025-11-13T23:02:01.296Z] [INFO] Enhanced impact for: graafinen-suunnittelija
[2025-11-13T23:02:01.296Z] [INFO] Enhanced employers for: graafinen-suunnittelija
[2025-11-13T23:02:01.296Z] [INFO] Enhanced impact for: muusikko
[2025-11-13T23:02:01.296Z] [INFO] Enhanced employers for: muusikko
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: kameramies
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: kameramies
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: kirjailija
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: kirjailija
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: muotoilija
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: muotoilija
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: animaattori
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: animaattori
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: teatteriohjaaja
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: teatteriohjaaja
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: valokuvaaja
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: valokuvaaja
[2025-11-13T23:02:01.297Z] [INFO] Enhanced impact for: pukusuunnittelija
[2025-11-13T23:02:01.297Z] [INFO] Enhanced employers for: pukusuunnittelija
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: rakennusmestari
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: rakennusmestari
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: putkiasentaja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: putkiasentaja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: maalari
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: maalari
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: kattomestari
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: kattomestari
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: lvi-asentaja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: lvi-asentaja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: talonrakentaja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: talonrakentaja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: betonityontekija
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: betonityontekija
[2025-11-13T23:02:01.298Z] [INFO] Enhanced impact for: rakennusvalvoja
[2025-11-13T23:02:01.298Z] [INFO] Enhanced employers for: rakennusvalvoja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: henkilöstöpäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: henkilöstöpäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: tuotantopäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: tuotantopäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: talouspäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: talouspäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: asiakaspalvelupäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: asiakaspalvelupäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: tietoturvapäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: tietoturvapäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: laadunpäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: laadunpäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: kehityspäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: kehityspäällikkö
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: data-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: data-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: pelisuunnittelija
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: pelisuunnittelija
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: robotiikka-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: robotiikka-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: biotekniikka-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: biotekniikka-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: nanotekniikka-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: nanotekniikka-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: kvantti-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: kvantti-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: blockchain-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: blockchain-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: virtuaalitodellisuus-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: virtuaalitodellisuus-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: automaatio-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: automaatio-insinööri
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: sairaanhoitaja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: sairaanhoitaja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: bioanalyytikko
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: bioanalyytikko
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: kouluterveydenhoitaja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: kouluterveydenhoitaja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: kotihoitaja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: kotihoitaja
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: ravitsemusasiantuntija
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: ravitsemusasiantuntija
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: tyopsykologi
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: tyopsykologi
[2025-11-13T23:02:01.299Z] [INFO] Enhanced impact for: poliisi
[2025-11-13T23:02:01.299Z] [INFO] Enhanced employers for: poliisi
[2025-11-13T23:02:01.300Z] [INFO] Enhanced impact for: rikostutkija
[2025-11-13T23:02:01.300Z] [INFO] Enhanced employers for: rikostutkija
[2025-11-13T23:02:01.300Z] [INFO] Enhanced impact for: sotilas
[2025-11-13T23:02:01.300Z] [INFO] Enhanced employers for: sotilas
